model,canonical_name_v4,source_category,source_url,source_media_status,min_source_images_evidenced,media_note,final_application_tags
HV-3101,Видеопроцессор HV-3101 Medinova,Видеоэндоскопические системы,https://endomarket.ru/products/gibkij-videobronhoskop-medinova,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Эндоскопия | Диагностика | Стационар
AF,Гибкий видеобронхоскоп Medinova AF,Видеобронхоскопы,https://endomarket.ru/catalog/videobronhoskopy,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Пульмонология | Бронхоскопия | Анестезиология | Реанимация
BR-1231,Видеобронхоскоп BR-1231 Medinova,Видеобронхоскопы,https://endomarket.ru/products/gibkij-videobronhoskop-medinova,confirmed_shared_gallery,4,Общая карточка линейки BR; изображения относятся к линейке.,Пульмонология | Бронхоскопия | Анестезиология | Реанимация
BR-1242,Видеобронхоскоп BR-1242 Medinova,Видеобронхоскопы,https://endomarket.ru/products/gibkij-videobronhoskop-medinova,confirmed_shared_gallery,4,Общая карточка линейки BR; изображения относятся к линейке.,Пульмонология | Бронхоскопия | Анестезиология | Реанимация
BR-1249,Видеобронхоскоп BR-1249 Medinova,Видеобронхоскопы,https://endomarket.ru/products/gibkij-videobronhoskop-medinova,confirmed_shared_gallery,4,Общая карточка линейки BR; изображения относятся к линейке.,Пульмонология | Бронхоскопия | Анестезиология | Реанимация
BR-1259,Видеобронхоскоп BR-1259 Medinova,Видеобронхоскопы,https://endomarket.ru/products/gibkij-videobronhoskop-medinova,confirmed_shared_gallery,4,Общая карточка линейки BR; изображения относятся к линейке.,Пульмонология | Бронхоскопия | Анестезиология | Реанимация
UR-1328,Видеоуретерореноскоп UR-1328 Medinova,Видеоуретроскопы,https://endomarket.ru/products/gibkij-videouretroskop-medinova,confirmed,4,На странице EndoMarket есть галерея.,Урология | Эндоурология | Диагностика
CY-1355,Видеоцистонефроскоп CY-1355 Medinova,Видеоцистоскопы,https://endomarket.ru/products/gibkij-videotsistonefroskop-medinova,confirmed_shared_gallery,3,Общая карточка CY-1355/CY-1356.,Урология | Эндоурология | Диагностика
CY-1356,Видеоцистонефроскоп CY-1356 Medinova,Видеоцистоскопы,https://endomarket.ru/products/gibkij-videotsistonefroskop-medinova,confirmed_shared_gallery,3,Общая карточка CY-1355/CY-1356.,Урология | Эндоурология | Диагностика
19 HD,"Медицинский монитор Medinova 19"" HD",Медицинские мониторы,https://endomarket.ru/catalog/oborudovanie-dlya-endoskopii?page=all,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Эндоскопия | Операционная | Диагностика
24 Full HD,"Медицинский монитор Medinova 24"" Full HD",Медицинские мониторы,https://endomarket.ru/catalog/oborudovanie-dlya-endoskopii?page=all,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Эндоскопия | Операционная | Диагностика
27 Full HD,"Медицинский монитор Medinova 27"" Full HD",Медицинские мониторы,https://endomarket.ru/catalog/oborudovanie-dlya-endoskopii?page=all,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Эндоскопия | Операционная | Диагностика
32 4K,"Медицинский монитор Medinova 32"" 4K",Медицинские мониторы,https://endomarket.ru/products/meditsinskij-monitor-medinova-32-4k,confirmed,6,На странице EndoMarket есть галерея.,Эндоскопия | Операционная | Диагностика
55 4K,"Медицинский монитор Medinova 55"" 4K",Медицинские мониторы,https://endomarket.ru/catalog/oborudovanie-dlya-endoskopii?page=all,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Эндоскопия | Операционная | Диагностика
EG-UR5,Видеогастроскоп SonoScape EG-UR5,Видеогастроскопы,https://endomarket.ru/catalog/videogastroskopy,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Гастроэнтерология | Эндоскопия | Диагностика
EG-UC5T,Видеогастроскоп SonoScape EG-UC5T,Видеогастроскопы,https://endomarket.ru/catalog/videogastroskopy,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Гастроэнтерология | Эндоскопия | Диагностика
EG-500,Видеогастроскоп SonoScape EG-500,Видеогастроскопы,https://endomarket.ru/products/videogastroskop-sonoscape-eg-500,confirmed,2,На странице EndoMarket есть галерея.,Гастроэнтерология | Эндоскопия | Диагностика
EG-500L,Видеогастроскоп SonoScape EG-500L,Видеогастроскопы,https://endomarket.ru/catalog/videogastroskopy,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Гастроэнтерология | Эндоскопия | Диагностика
EG-430,Видеогастроскоп SonoScape EG-430,Видеогастроскопы,https://endomarket.ru/products/videogastroskop-sonoscape-eg-430,confirmed,3,На странице EndoMarket есть галерея.,Гастроэнтерология | Эндоскопия | Диагностика
EG-430L,Видеогастроскоп SonoScape EG-430L,Видеогастроскопы,https://endomarket.ru/catalog/videogastroskopy,source_product_confirmed_gallery_not_counted,,Товар подтвержден в каталоге EndoMarket; при реализации Codex должен открыть direct product page и забрать все чистые уникальные изображения.,Гастроэнтерология | Эндоскопия | Диагностика
EC-500T,Видеоколоноскоп SonoScape EC-500T,Видеоколоноскопы,https://endomarket.ru/products/videokolonoskop-sonoscape-es-500t,confirmed,3,На странице EndoMarket есть галерея.,Колоноскопия | Эндоскопия | Диагностика
EC-500L/T,Видеоколоноскоп SonoScape EC-500L/T,Видеоколоноскопы,https://endomarket.ru/products/videokolonoskop-sonoscape-es-500lt,confirmed,2,На странице EndoMarket есть галерея.,Колоноскопия | Эндоскопия | Диагностика
EC-430T,Видеоколоноскоп SonoScape EC-430T,Видеоколоноскопы,https://endomarket.ru/catalog/videokolonoskopy,confirmed_by_manual_review,3,Пользователь подтвердил 3 фото на EndoMarket; также модель входит в HD-350 source configuration.,Колоноскопия | Эндоскопия | Диагностика
EC-430L/T,Видеоколоноскоп SonoScape EC-430L/T,Видеоколоноскопы,https://endomarket.ru/catalog/videokolonoskopy,confirmed,3,На странице EndoMarket есть галерея.,Колоноскопия | Эндоскопия | Диагностика
