model,canonical_name,manufacturer,source_url,application_tags,hard_reference,required_source_description,required_source_features,required_source_specs,required_clean_media,manufacturer_block_last,stage_catalog_expected
HV-3101,Видеопроцессор HV-3101 Medinova,Medinova,https://endomarket.ru/products/videoprotsessor-hv-3101-medinova,Эндоскопия | Диагностика | Стационар,Нет,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,Да,113
AF,Гибкий видеобронхоскоп Medinova AF,Medinova,https://endomarket.ru/products/gibkij-videobronhoskop-medinova-af,Пульмонология | Бронхоскопия | Анестезиология | Реанимация,Нет,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,Да,113
BR-1231,Видеобронхоскоп BR-1231 Medinova,Medinova,https://endomarket.ru/products/gibkij-videobronhoskop-medinova,Пульмонология | Бронхоскопия | Анестезиология | Реанимация,Нет,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,Да,113
BR-1242,Видеобронхоскоп BR-1242 Medinova,Medinova,https://endomarket.ru/products/gibkij-videobronhoskop-medinova,Пульмонология | Бронхоскопия | Анестезиология | Реанимация,Нет,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,Да,113
BR-1249,Видеобронхоскоп BR-1249 Medinova,Medinova,https://endomarket.ru/products/gibkij-videobronhoskop-medinova,Пульмонология | Бронхоскопия | Анестезиология | Реанимация,Нет,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,Да,113
BR-1259,Видеобронхоскоп BR-1259 Medinova,Medinova,https://endomarket.ru/products/gibkij-videobronhoskop-medinova,Пульмонология | Бронхоскопия | Анестезиология | Реанимация,Нет,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,Да,113
UR-1328,Видеоуретерореноскоп UR-1328 Medinova,Medinova,https://endomarket.ru/products/gibkij-videouretroskop-medinova,Урология | Эндоурология | Диагностика,Да,SOURCE_EXACT,SOURCE_EXACT,6,4,Да,113
CY-1355,Видеоцистонефроскоп CY-1355 Medinova,Medinova,https://endomarket.ru/products/gibkij-videotsistonefroskop-medinova,Урология | Эндоурология | Диагностика,Да,SOURCE_EXACT,SOURCE_EXACT,6,3,Да,113
CY-1356,Видеоцистонефроскоп CY-1356 Medinova,Medinova,https://endomarket.ru/products/gibkij-videotsistonefroskop-medinova,Урология | Эндоурология | Диагностика,Да,SOURCE_EXACT,SOURCE_EXACT,6,3,Да,113
19 HD,"Медицинский монитор Medinova 19"" HD",Medinova,https://endomarket.ru/products/meditsinskij-monitor-medinova-19-hd,Эндоскопия | Операционная | Диагностика,Нет,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,Да,113
24 Full HD,"Медицинский монитор Medinova 24"" Full HD",Medinova,https://endomarket.ru/products/meditsinskij-monitor-medinova-24-full-hd,Эндоскопия | Операционная | Диагностика,Нет,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,Да,113
27 Full HD,"Медицинский монитор Medinova 27"" Full HD",Medinova,https://endomarket.ru/products/meditsinskij-monitor-medinova-27-full-hd,Эндоскопия | Операционная | Диагностика,Нет,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,SOURCE_EXACT,Да,113
